name,latitud,longitud,category
La Camelia Vegan-Bar,43.261577,-2.92542,'Vegetarian / Vegan Restaurant'
Bohemian Lane,43.25643000858261,-2.9247841211133747,'Vegetarian / Vegan Restaurant'
Garibolo,43.258352692,-2.933279752,'Vegetarian / Vegan Restaurant'
Restaurante Luum,43.264866,-2.933099,'Vegetarian / Vegan Restaurant'
Areatza - El Arenal,43.26014125122642,-2.9239183050100133,'Park' 
Etxebarria Parkea (Parque Etxebarria),43.26283123514836,-2.9182863235473633,'Park' 
Parque de Doña Casilda,43.2656332591354,-2.9415151891631695,'Park' 
Plaza del Ensanche,43.26348488738338,-2.9311001083536046,'Park' 
Campa de los Ingleses,43.26873556781857,-2.9357045888900757,'Park' 
Jardines de Gernika,43.25086584622988,-2.929732244196866,'Park' 
Plaza de la Casilla,43.257346313867586,-2.9438960552215576,'Park' 
Parque Miribilla,43.25290019602707,-2.928006649017334,'Park' 
Barracas Parque Etxebarria,43.263406799153906,-2.9181440874282085,'Park' 
Parque Europa Parkea,43.25454897003712,-2.9042744636535645,'Park' 
Plaza Arriquíbar,43.26002033341562,-2.9361957182328853,'Park' 
Plaza S.S. Juan XXIII,43.25959418884716,-2.9129751956697207,'Park' 
Parque de Ibaieder,43.244578786258025,-2.923396450849745,'Park' 
Parque De Los Patos,43.26468348596001,-2.9385910845772365,'Park' 
Abandoibarra,43.26884363806379,-2.939181407173605,'Park' 
Parque Arane,43.25011622376462,-2.934815144192289,'Park' 
Plaza General Latorre,43.25575994184304,-2.9460569300391763,'Park' 
NBA Fan Zone,43.26136308404195,-2.923942690858156,'Basketball'
Mundobasket Fan Zone,43.26041228801192,-2.924410901561595,'Basketball  
Cancha de basket de Solokoetxe,43.25533695408868,-2.9203581050539578,'Basketball Court'
Sudenpesä,43.26073605371366,-2.9401669206705625,'Basketball Court'
Fronton Alonsotegi,43.24538,-2.990099,'Basketball Court'
IMD Barakaldo,43.277887037069846,-2.9944991692415885,'Basketball Court'
Estación de Abando Indalecio Prieto,43.26048731215511,-2.927953004837036,'Train Station'  
Estacion FEVE La Concordia,43.26004642968753,-2.9256980146858793,'Train Station'
Plaza del Funicular / Funikularreko plaza,43.26842444358343,-2.926441719147161,'Train Station'
Estación de San Nicolás,43.26017657781402,-2.922186217749781,'Train Station'
EuskoTren Casco Viejo,43.26030638360346,-2.9219882862349076,'Train Station'
Euskotren San Nikolas,43.2600496906265,-2.922338128646173,'Train Station'
Estación de Atxuri,43.254213456149714,-2.9215022923516023,'Train Station'
Renfe Zabalburu,43.25623016471469,-2.9326762309781222,'Train Station'
Estación de Miribilla,43.2503800641892,-2.9304340481758118,'Train Station' 
EuskoTren,43.254095756985436,-2.921419143676758,'Train' 
Estación de Ametzola,43.254662,-2.943658,'Train Station'
Renfe Autonomía,43.258955096281106,-2.945733990378071,'Train Station'